mode,n,avg_turnaround,avg_response,avg_wait,avg_run,avg_sleep,avg_sched,total_turnaround,total_response,total_wait,total_run,total_sleep,total_sched
2,8,4.125,0.0,5.0,2.5,0.0,4.625,33,0,40,20,0,37
2,8,4.75,0.75,4.875,2.75,0.25,5.25,38,6,39,22,2,42
2,8,4.25,0.0,5.25,2.75,0.0,4.5,34,0,42,22,0,36
2,8,4.375,0.875,4.0,2.625,0.0,4.625,35,7,32,21,0,37
2,8,4.75,0.0,6.375,2.5,0.75,6.5,38,0,51,20,6,52
2,8,4.125,0.5,4.625,2.75,0.0,4.125,33,4,37,22,0,33
2,8,3.625,0.5,4.125,2.375,0.0,3.5,29,4,33,19,0,28
2,8,4.0,0.0,4.625,2.625,0.0,4.625,32,0,37,21,0,37
2,8,4.25,0.0,5.875,2.625,0.0,5.5,34,0,47,21,0,44
2,8,4.5,1.375,4.5,2.25,0.0,3.5,36,11,36,18,0,28
2,8,4.125,0.75,5.0,2.875,0.0,4.125,33,6,40,23,0,33
2,8,4.875,0.75,4.875,2.875,0.0,5.875,39,6,39,23,0,47
2,8,4.75,0.875,5.375,2.5,0.0,4.375,38,7,43,20,0,35
2,8,4.5,0.625,4.25,2.625,0.0,4.625,36,5,34,21,0,37
2,8,4.0,0.0,4.125,2.875,0.625,4.5,32,0,33,23,5,36
2,8,4.375,0.0,5.125,2.5,0.75,4.875,35,0,41,20,6,39
2,8,4.625,1.375,5.125,2.75,0.0,3.75,37,11,41,22,0,30
2,8,4.25,0.0,6.0,2.75,0.0,4.625,34,0,48,22,0,37
2,8,4.375,0.0,4.5,2.625,0.0,5.5,35,0,36,21,0,44
2,8,4.0,0.0,4.5,2.5,0.0,4.625,32,0,36,20,0,37
2,8,4.375,0.0,6.375,2.5,0.0,4.25,35,0,51,20,0,34
2,8,4.75,0.0,5.375,2.875,0.0,5.125,38,0,43,23,0,41
2,8,4.0,0.0,4.25,2.25,1.5,4.125,32,0,34,18,12,33
2,8,4.875,0.875,5.25,2.625,0.5,4.625,39,7,42,21,4,37
2,8,4.75,0.875,5.75,2.625,0.0,4.375,38,7,46,21,0,35
2,8,4.625,0.75,5.25,2.875,0.0,4.875,37,6,42,23,0,39
2,8,6.0,0.0,9.125,2.75,0.75,6.25,48,0,73,22,6,50
